Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca
papel-higienico-elite-plus-4-rollos-x-300m;Papel Higienico ELITE PLUS 4 rollos x 300m;Limpieza y Prevención > Papel Higiénico\, Rollos\, Servilletas;;;;;;;0.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;;higienico, pack, papel;;;ELITE
papel-higienico-elite-plus-4-rollos-x-30m-caja-12-unidades;Papel Higienico ELITE PLUS 4 rollos x 30m caja 12 unidades;Limpieza y Prevención > Papel Higiénico\, Rollos\, Servilletas;;;;;;;0.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;;pack, papel, higienico;;;ELITE
panuelos-elite-doble-hoja-caja-x-75-unidades;Pañuelos ELITE doble hoja Caja x 75 unidades;Limpieza y Prevención > Papel Higiénico\, Rollos\, Servilletas;;;;;;;0.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;;pack, panuelo, doble hoja;;;ELITE
panuelos-elite-triple-hoja-x10u-en-pack-x-6;Pañuelos ELITE triple hoja x10u en pack x 6;Limpieza y Prevención > Papel Higiénico\, Rollos\, Servilletas;;;;;;;0.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;;panuelo, triple hoja, pack;;;ELITE
papel-higienico-higienol-simple-4un-x-30m;Papel Higienico HIGIENOL simple 4un. x 30m;Limpieza y Prevención > Papel Higiénico\, Rollos\, Servilletas;;;;;;;0.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;;higienico, papel, simple hoja;;;HIGIENOL
papel-higienico-higienol-doble-hoja-4un-x-30m;Papel Higienico HIGIENOL doble hoja 4un. x 30m;Limpieza y Prevención > Papel Higiénico\, Rollos\, Servilletas;;;;;;;0.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;;doble hoja, higienico, papel;;;HIGIENOL
papel-higienico-elite-doble-hoja-4un-x-30m;Papel Higienico ELITE doble hoja 4un. x 30m;Limpieza y Prevención > Papel Higiénico\, Rollos\, Servilletas;;;;;;;0.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;;papel, higienico, doble hoja;;;ELITE
bobina-rendipel-doble-hoja-2-rollos-x-150m;Bobina RENDIPEL doble hoja 2 rollos x 150m;Limpieza y Prevención > Papel Higiénico\, Rollos\, Servilletas;;;;;;;0.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;;bobina, papel;;;RENDIPEL
bobina-elite-dh-plus-19cm-2-rollos-x-400m;Bobina ELITE DH Plus 19cm 2 rollos x 400m;Limpieza y Prevención > Papel Higiénico\, Rollos\, Servilletas;;;;;;;0.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;;bobina, papel;;;ELITE
barbijos-tipo-quirurjicos-elite-175x95cm-x50u;Barbijos tipo Quirurjicos ELITE 17,5x9,5cm x50u;Limpieza y Prevención > Papel Higiénico\, Rollos\, Servilletas;;;;;;;0.00;;0.00;0.00;0.00;0.00;1;;;SI;NO;;barbijo, quirurjico;;;ELITE
kit-masilina-balde-de-5-sticks-mas-accesorios;Kit Masilina Balde de 5 Sticks mas Accesorios;Escolar > Plastilinas, Juguetes y Libros;;;;;;;2100,00;;0.30;14.00;14.00;13.00;10;210125;;SI;NO;;kit, masa, masilina, plastilina, set, art45;;;MASILINA
kit-masilina-de-5-sticks-mas-accesorios-de-cocina;Kit Masilina de 5 Sticks mas Accesorios de cocina;Escolar > Plastilinas, Juguetes y Libros;;;;;;;900,00;;0.15;3.00;11.00;17.00;10;210126;;SI;NO;;masa, plastilina, masilina, art41, set, kit;;;MASILINA
plastilina-escolar-playcolor-x10;Plastilina escolar PlayColor x10;Escolar > Plastilinas;;;;;;;350,00;;0.10;2.00;10.00;16.00;10;210072;;SI;NO;;plastilina, para modelar, x10, escolar;;;PLAYCOLOR
crayones-escolares-simball-x-12;Crayones Escolares Simball X 12;Escolar > Crayones;;;;;;;698,38;;0.10;1.00;14.00;17.00;10;015364;;SI;NO;;crayon, crayones, escolares, x12;;;Simball
crayones-escolares-simball-x-6;Crayones Escolares Simball X 6;Escolar > Crayones;;;;;;;359,77;;0.10;1.00;9.00;17.00;10;015363;;SI;NO;;crayon, crayones, escolares, x6;;;Simball
crayones-de-cera-pastel-trabi-jumbo-x-6;Crayones de Cera PASTEL Trabi Jumbo x 6;Escolar > Crayones, Mundo Pastel;;;;;;;286,86;;0.10;1.00;7.00;12.00;10;015420;;SI;NO;;crayon, crayones, cera, jumbo, pastel, x6;;;TRABI
boligrafo-gel-filgo-borraxion-azul;Boligrafo GEL Filgo Borraxion Azul;Facultad > Bolígrafos, Escolar > Bolígrafos y Rollerballs, Oficina > Bolígrafos;;;;;;;484,00;;0.01;1.00;1.50;15.00;17;015368;;SI;NO;;boligrafo, borrable, azul, gel, borraxion;;;FILGO
repuesto-roller-filgo-borraxion-gel-azul;Repuesto Roller Filgo Borraxion GEL azul;Facultad > Bolígrafos, Escolar > Bolígrafos y Rollerballs, Oficina > Bolígrafos;;;;;;;229,60;;0.02;0.50;0.50;12.00;0;015369;;SI;NO;;borrable, repuesto, gel, borraxion;;;Filgo
grip-adaptador-para-lapiz-keyroad;Grip Adaptador para Lapiz KeyRoad;Bazar / Otros, Escolar > Lápiz Negro, Escolar > Lapices de Colores;;;;;;;137,31;;0.02;3.00;4.00;4.00;27;015481;;SI;NO;;gip, adaptador, lapiz, escolar;;;KEYROAD
set-filgo-enjoy-hand-lettering-x29;Set Filgo Enjoy Hand Lettering x29;Escolar > Lapices de Colores, Oficina > Marcadores, Facultad > Marcadores, Escolar > Fibras\, Marcadores y Resaltadores;;;;;;;11786,01;;0.15;2.00;25.00;32.00;10;015470;;SI;NO;;enjoy, set, lettering, x29;;;FILGO
set-filgo-enjoy-black-crush-x24;Set Filgo Enjoy Black Crush x24;Escolar > Lapices de Colores, Oficina > Marcadores, Facultad > Marcadores, Escolar > Fibras\, Marcadores y Resaltadores;;;;;;;11556,41;;0.15;2.00;25.00;32.00;10;015473;;SI;NO;;bullet journal, enjoy, set, x24;;;FILGO
set-filgo-enjoy-bullet-journal-x24;Set Filgo Enjoy Bullet Journal x24;Oficina > Marcadores > Punta Pincel, Facultad > Marcadores > Punta Pincel, Escolar > Fibras\, Marcadores y Resaltadores;;;;;;;6964,46;;0.15;2.00;25.00;32.00;10;015471;;SI;NO;;enjoy, set, x24, bullet journal;;;FILGO
set-filgo-enjoy-color-club-x-32;Set Filgo Enjoy Color Club x 32;Escolar > Lapices de Colores, Facultad > Marcadores, Escolar > Fibras\, Marcadores y Resaltadores;;;;;;;6199,13;;0.15;2.00;25.00;32.00;10;015472;;SI;NO;;set, x32, enjoy, color club;;;FILGO
set-de-pinceles-x-10-daler-rowney-graduate-c-portapinceles;Set de Pinceles x 10 DALER ROWNEY Graduate C-Portapinceles;Artística > Pintura > Pinceles;;;;;;;16390,26;;0.20;4.00;15.50;38.00;2;240310;;SI;NO;;set, pinceles, x10, graduate, brush collection;;;Daler Rowney
