"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
set-taco-adhesivo-ppr-river-plate;"Set Taco Adhesivo PPR River Plate";"Facultad > Notas y Notas Autoadhesivas, Oficina > Notas y Notas Autoadhesivas, Oficina > Portataco y Artículos Escritorio";;;;;;;4,100.00;;0.20;1.00;15.00;19.00;4;102518;;SI;NO;;"adhesivo, notas, river, river plate, taco";;;PPR;SI;;;;
agenda-2024-fw-semanal-docente-flores;"Agenda 2024 FW Semanal Docente Varios Modelos";"FW > Agendas, Agendas > Semanales";;;;;;;14,425.60;;0.69;4.00;19.00;22.00;4;322598;;SI;NO;;"a5, agenda, docente, semanal";;;FW;SI;;;;
agenda-2024-fw-trend-diaria-cute;"Agenda 2024 FW Trend Diaria Varios Modelos";"FW > Agendas, Agendas > Diarias";;;;;;;18,160.80;;0.69;4.00;19.00;22.00;3;322595;;SI;NO;;"a5, agenda, diaria";;;FW;SI;;;;
agenda-2024-semanal-fera-pocket-florero;"Agenda 2024 Semanal FERA Pocket Florero";"Dia De La Madre, Agendas > Semanales";;;;;;;4,850.00;;0.35;3.00;17.00;21.00;4;322570;;SI;NO;;"2024, agenda, pocket, semanal";;;FERA;SI;;;;
agenda-2024-semanal-fera-pocket-siempre-lista;"Agenda 2024 Semanal FERA Pocket Siempre Lista";"Dia De La Madre, Agendas > Semanales";;;;;;;4,850.00;;0.35;3.00;17.00;21.00;4;322573;;SI;NO;;"2024, agenda, pocket, semanal";;;FERA;SI;;;;
agenda-2024-semanal-fera-pocket-collage;"Agenda 2024 Semanal FERA Pocket Collage";"Dia De La Madre, Agendas > Semanales";;;;;;;4,850.00;;0.35;3.00;17.00;21.00;4;322571;;SI;NO;;"2024, agenda, pocket, semanal";;;FERA;SI;;;;
agenda-2024-semanal-fera-pocket-nuevo-capitulo;"Agenda 2024 Semanal FERA Pocket Nuevo Capitulo";"Dia De La Madre, Agendas > Semanales";;;;;;;4,850.00;;0.35;3.00;17.00;21.00;4;322574;;SI;NO;;"2024, agenda, pocket, semanal";;;FERA;SI;;;;
agenda-2024-semanal-fera-pocket-analogica;"Agenda 2024 Semanal FERA Pocket Analogica";"Dia De La Madre, Agendas > Semanales";;;;;;;4,850.00;;0.35;3.00;17.00;21.00;4;322569;;SI;NO;;"2024, agenda, pocket, semanal";;;FERA;SI;;;;
agenda-2024-semanal-fera-pocket-pradera;"Agenda 2024 Semanal FERA Pocket Pradera";"Dia De La Madre, Agendas > Semanales";;;;;;;8,350.00;;0.35;3.00;17.00;21.00;4;322584;;SI;NO;;"2024, agenda, pocket, semanal";;;FERA;SI;;;;
agenda-2024-diaria-fera-tapa-dura-pradera-a5;"Agenda 2024 Diaria FERA Tapa Dura Pradera A5";"Dia De La Madre, Agendas > Diarias";;;;;;;12,200.00;;0.35;3.00;17.00;21.00;4;322578;;SI;NO;;"2024, agenda, diaria";;;FERA;SI;;;;
